Fecha;PM10;PM2.5;Velo-Viento;Precipitacion;Dirrecion;O3;CO;NO;NO2;NOX;SO2;Temperatura;Radiacion;HR
01-01-2023 03:532;40,1;23;1,4;0,4;282;10,5;1,3;15,1;34,3;49,4;0;14,6;0;66
01-01-2023 04:532;38,1;24;1,3;0,1;318;3,1;1,6;26,1;40,7;66,9;0;13,7;0;67
01-01-2023 01:533;35,5;28;1,7;0;60;2,7;1,5;38,8;37,6;76,4;0;12,9;0;70
01-01-2023 02:533;61,6;22;2,4;0;87;16,1;0,7;6,5;15,8;22,3;0;12,8;0;69
01-01-2023 03:533;43,2;21;0,9;0;106;17,3;0,6;3,3;17,4;20,7;0;12,5;0;66
01-01-2023 04:533;36,5;18;0,6;0;4;4,9;0,9;14;26,4;40,4;0;11,7;0;70
01-01-2023 01:534;38,4;25;0,6;0;309;3,3;0,9;22,2;27,4;49,6;0;11,2;0;72
01-01-2023 02:534;36,3;25;0,8;0;291;2,7;0,9;19,4;26,3;45,8;0;10,6;0;77
01-01-2023 03:534;39,1;27;0,3;0;44;1,7;0,7;10,4;21,9;32,4;0;9,8;0;80
01-01-2023 04:534;39,8;27;0,3;0;347;5,8;0,5;3,9;17,5;21,5;0;9,5;0;80
01-01-2023 01:535;37;20;0,5;0;222;1,9;1;67,7;28,7;96,8;0;9,7;0;78
01-01-2023 02:535;32,1;29;0,4;0;280;1,2;2,3;255,9;58,4;315,3;0;9,9;0;78
01-01-2023 03:535;70,9;70;1,8;0;63;6;1,7;95,3;31,9;127,5;0;11,2;0;72
01-01-2023 04:535;71,2;34;3;0;72;16,4;1;14,7;19,6;34,4;0;12,7;0;67
01-01-2023 01:536;57,7;24;1,8;0;78;19,5;1;18,8;20;38,7;0;15,6;0;56
01-01-2023 02:536;52,9;23;3,3;0;95;28,3;0,6;8,8;10,9;19,7;0;16,5;0;52
01-01-2023 03:536;44,4;17;3,5;0;91;28,4;0,6;8,6;8,4;16,9;0;15,7;0;56
01-01-2023 04:536;38,5;23;2;0;92;32,9;0,6;5;5,7;10,6;0;18;0;50
01-01-2023 01:537;39,3;14;4,6;0;85;28,4;0,7;10,4;11,2;21,5;0;15,8;0;56
01-01-2023 02:537;30;14;4,3;0;81;29,6;0,6;9,8;9,5;19,3;0;15,9;0;56
01-01-2023 03:537;29,1;19;4,6;0;76;34,7;0,6;6,8;5,6;12,3;0;18;0;50
01-01-2023 04:537;25,7;18;4,2;0;72;31,4;0,6;7,8;6,3;14;0;17,9;0;50
01-01-2023 01:538;31;15;4,4;0;90;27,5;0,5;9,6;6,1;15,8;0;17,4;0;49
01-01-2023 02:538;23;13;3,7;0;89;20,3;0,8;13,4;12;25,3;0;15,9;0;53
01-01-2023 03:538;24;24;2,3;0;80;9,8;1,2;18,7;22,6;41,3;0;14,2;0;60
01-01-2023 04:538;23,4;19;1,9;0;104;11,5;0,9;14,4;19,9;34,4;0;13,5;0;63
01-01-2023 01:539;27;27;1,2;0;142;19,8;0,6;3;12,3;15,3;0;13,2;0;63
01-01-2023 02:539;35,5;23;0,5;0;63;13;0,8;6,4;17,1;23,5;0;12,2;0;68
01-01-2023 03:539;28,3;25;0,8;0;50;4,2;1,2;26,8;26,7;53,6;0;12,1;0;68
01-01-2023 04:539;41,4;29;2,1;0;86;15,3;0,7;10;16,9;26,9;0;12,4;0;68
01-01-2023 01:540;40,6;25;1,8;0;75;24,8;0,4;2,5;6,2;8,7;0;13;0;65
01-01-2023 02:540;29,5;21;2,3;0;85;21,7;0,4;2,4;7,6;9,9;0;12,5;0;67
01-01-2023 03:540;28,8;19;2,7;0;87;28,1;0,4;0,9;2,5;3,4;0;12,6;0;67
